id_processo,cnpj,tj,leilao_teve,leilao_data,leilao_vendeu,upi_teve,upi_vendeu
00141867920138260161,45658945000133,SP,Sim,NA,NA,Não,Não
00044385520138260506,55979264000120,SP,Sim,NA,NA,Sim,Não
00044385520138260506,11241730000109,SP,Sim,NA,NA,Sim,Não
00044385520138260506,55972251000120,SP,Sim,NA,NA,Sim,Não
10004985420178260529,06928877000123,SP,Não,NA,NA,Não,Não
00007316520118260695,03886705000146,SP,Não,NA,NA,Não,Não
00041711120138260045,02501608000125,SP,NA,NA,NA,NA,NA
10004675620158260609,10548930000138,SP,NA,NA,NA,NA,NA
10004264020168260032,13715428000162,SP,NA,NA,NA,NA,NA
00041696620138260554,55261689000108,SP,NA,NA,NA,NA,NA
00135556120128260100,61489381000109,SP,Sim,NA,NA,Sim,Não
00041338220148260491,02726692000185,SP,NA,NA,NA,NA,NA
00041034020138260634,03453345000199,SP,NA,NA,NA,NA,NA
00040796820158260431,01753491000104,SP,Não,NA,NA,Não,Não
00040796820158260431,12331075000134,SP,Não,NA,NA,Não,Não
00005291020138260472,61012746000100,SP,Sim,NA,NA,Sim,Não
00039190220148260650,02144472000143,SP,Não,NA,NA,Não,Não
00039112620108260695,03886705000146,SP,NA,NA,NA,NA,NA
00038815320158260650,45993607000158,SP,NA,NA,NA,NA,NA
00038686620118260659,02112772000140,SP,Não,NA,NA,Não,Não
00038686620118260659,10943340000100,SP,Não,NA,NA,Não,Não
00038596420138260100,03770961000173,SP,NA,NA,NA,NA,NA
00133396120138260037,11190033000249,SP,NA,NA,NA,NA,NA
00133136420128260533,03832818000169,SP,NA,NA,NA,NA,NA
00130065120128260100,NA,SP,NA,NA,NA,NA,NA
00128586920138260176,14490703000150,SP,NA,NA,NA,NA,NA
00125367020118260224,67100941000178,SP,NA,NA,NA,NA,NA
00118477320128260100,NA,SP,NA,NA,NA,NA,NA
00037402820138260222,01780004000100,SP,Não,NA,NA,Não,Não
00007019620108260361,05393739000124,SP,NA,NA,NA,NA,NA
00006860320118260100,NA,SP,NA,NA,NA,NA,NA
00036791420148260197,54885181000100,SP,NA,NA,NA,NA,NA
00036763020128260100,96474416000110,SP,Não,NA,NA,Não,Não
00036763020128260100,00897234000183,SP,Não,NA,NA,Não,Não
00036763020128260100,03583769000178,SP,Não,NA,NA,Não,Não
00036763020128260100,00203098000184,SP,Não,NA,NA,Não,Não
00036763020128260100,03038224000180,SP,Não,NA,NA,Não,Não
00036763020128260100,10580743000131,SP,Não,NA,NA,Não,Não
00036763020128260100,72362353000142,SP,Não,NA,NA,Não,Não
00036763020128260100,69082857000102,SP,Não,NA,NA,Não,Não
10012114820178260361,44294593000111,SP,NA,NA,NA,NA,NA
00036490720128260663,06274445000146,SP,NA,NA,NA,NA,NA
10010960420178260595,71259873000161,SP,NA,NA,NA,NA,NA
00035979120148260452,44552677000108,SP,NA,NA,NA,NA,NA
10014609120168260568,48847396000133,SP,NA,NA,NA,NA,NA
00004811920138260224,57690711000152,SP,NA,NA,NA,NA,NA
00004117820158260370,NA,SP,NA,NA,NA,NA,NA
00004008820138260315,57786600000144,SP,Não,NA,NA,Não,Não
00112573320118260100,05016732000193,SP,NA,NA,NA,NA,NA
00111002620128260100,48546857000138,SP,Não,NA,NA,Não,Não
10010290420178260445,69208916000138,SP,NA,NA,NA,NA,NA
10009005020168260019,03196341000172,SP,NA,NA,NA,NA,NA
00108490820128260100,03762892000156,SP,NA,NA,NA,NA,NA
00034993720158260108,09185453000104,SP,Não,NA,NA,Não,Não
00034993720158260108,01403812000140,SP,Não,NA,NA,Não,Não
00107927320128260428,08955364000137,SP,NA,NA,NA,NA,NA
00034906520158260176,61259099000135,SP,NA,NA,NA,NA,NA
00034519220138260223,71604631000168,SP,NA,NA,NA,NA,NA
00034483520158260396,08850672000106,SP,NA,NA,NA,NA,NA
00033826620158260457,08531763000170,SP,NA,NA,NA,NA,NA
00103313920138260114,45995388000146,SP,Não,NA,NA,Não,Não
00033320720158260080,60887239000157,SP,Não,NA,NA,NA,Não
00003264120138260248,67784934000132,SP,NA,NA,NA,NA,NA
00003143220138260602,71864169000138,SP,Não,NA,NA,Não,Não
00003143220138260602,57051187000170,SP,Não,NA,NA,Não,Não
00003143220138260602,60120458000106,SP,Não,NA,NA,Não,Não
