id_processo,status,area,assunto,vara,data_hora,controle,incidente,processo_principal,recebido_em,processo,cdp,digital,classe,distribuicao,juiz,local_fisico,execucao_de_sentenca,erro,valor_da_acao,outros_numeros,dados_da_precatoria,outros_assuntos,apensado_ao,acao_incidental,cdas,entranhado_ao
1007572-89.2019.8.26.0077,Em grau de recurso,Civel,Inexequibilidade do Titulo / Inexigibilidade da Obrigacao,3ª Vara Civel - Foro de Birigui,20/08/2019 as 16:51 - Dependencia (1003162-22.2018.8.26.0077),2019/002167,NA,NA,NA,1007572-89.2019.8.26.0077 Em grau de recurso,NA,FALSE,Embargos a Execucao,20/08/2019 as 16:51 - Dependencia (1003162-22.2018.8.26.0077) | 3ª Vara Civel - Foro de Birigui,Cassia de Abreu,NA,NA,NA,"R$ 1.500.000,00",NA,NA,NA,NA,NA,NA,NA
1007574-87.2019.8.26.0003,,Civel,Antecipacao de Tutela / Tutela Especifica,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,12/05/2019 as 11:25 - Livre,2019/000439,NA,NA,NA,1007574-87.2019.8.26.0003,NA,TRUE,Procedimento Comum Civel,12/05/2019 as 11:25 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 10.000,00",NA,NA,Liminar,NA,NA,NA,NA
1007588-08.2018.8.26.0100,| (Tramitacao prioritaria),Civel,Responsabilidade dos socios e administradores,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,01/02/2018 as 15:02 - Dependencia (1003796-46.2018.8.26.0100),2018/000043,NA,NA,NA,1007588-08.2018.8.26.0100 | (Tramitacao prioritaria),NA,TRUE,Procedimento Comum Civel,01/02/2018 as 15:02 - Dependencia (1003796-46.2018.8.26.0100) | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 909.086,21",NA,NA,NA,1003796-46.2018.8.26.0100,NA,NA,NA
1007595-60.2019.8.26.0004,Extinto | (Tramitacao prioritaria),Civel,Ingresso e Exclusao dos Socios na Sociedade,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,20/06/2019 as 12:30 - Livre,2019/000592,NA,NA,NA,1007595-60.2019.8.26.0004 Extinto | (Tramitacao prioritaria),NA,TRUE,Dissolucao Parcial de Sociedade,20/06/2019 as 12:30 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 20.000,00",NA,NA,Apuracao de haveres,NA,NA,NA,NA
1007598-52.2018.8.26.0100,Extinto,Civel,Indenizacao por Dano Material,11ª Vara Civel - Foro Central Civel,15/05/2018 as 13:36 - Direcionada,2018/000733,NA,NA,NA,1007598-52.2018.8.26.0100 Extinto,NA,TRUE,Procedimento Comum Civel,15/05/2018 as 13:36 - Direcionada | 11ª Vara Civel - Foro Central Civel,Dimitrios Zarvos Varellis,NA,NA,NA,"R$ 100.000,00",NA,NA,NA,NA,NA,NA,NA
1007621-27.2020.8.26.0100,| (Tramitacao prioritaria),Civel,Marca,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,05/03/2020 as 16:56 - Livre,2020/000205,NA,NA,NA,1007621-27.2020.8.26.0100 | (Tramitacao prioritaria),NA,TRUE,Procedimento Comum Civel,05/03/2020 as 16:56 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 66.529,97",NA,NA,"Correcao Monetaria,Rescisao / Resolucao",NA,NA,NA,NA
1007623-96.2018.8.26.0704,Extinto,Civel,Marca,1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,01/12/2018 as 12:08 - Livre,2018/001042,NA,NA,NA,1007623-96.2018.8.26.0704 Extinto,NA,TRUE,Procedimento Comum Civel,01/12/2018 as 12:08 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Eduardo Palma Pellegrinelli,NA,NA,NA,"R$ 10.000,00",NA,NA,NA,NA,NA,NA,NA
1007637-15.2019.8.26.0100,Extinto,Civel,"Defeito, nulidade ou anulacao",1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,27/02/2019 as 13:19 - Livre,2019/000174,NA,NA,NA,1007637-15.2019.8.26.0100 Extinto,NA,TRUE,Procedimento Comum Civel,27/02/2019 as 13:19 - Livre | 1ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,PAULA DA ROCHA E SILVA FORMOSO,NA,NA,NA,"R$ 636.000,00",NA,NA,Indenizacao por Dano Material,NA,NA,NA,NA
1007641-83.2019.8.26.0704,Extinto | (Tramitacao prioritaria),Civel,Ingresso e Exclusao dos Socios na Sociedade,2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,05/12/2019 as 15:39 - Livre,2019/001285,NA,NA,NA,1007641-83.2019.8.26.0704 Extinto | (Tramitacao prioritaria),NA,TRUE,Dissolucao Parcial de Sociedade,05/12/2019 as 15:39 - Livre | 2ª VARA EMPRESARIAL E CONFLITOS DE ARBITRAGEM - Foro Central Civel,Renata Mota Maciel,NA,NA,NA,"R$ 580.495,20",NA,NA,NA,NA,NA,NA,NA
1007646-73.2015.8.26.0566,Extinto | (Tramitacao prioritaria),Civel,Especies de Contratos,4ª Vara Civel - Foro de Sao Carlos,28/07/2015 as 18:10 - Livre,2015/001226,NA,NA,NA,1007646-73.2015.8.26.0566 Extinto | (Tramitacao prioritaria),NA,TRUE,Procedimento Comum Civel,28/07/2015 as 18:10 - Livre | 4ª Vara Civel - Foro de Sao Carlos,FLAVIA DE ALMEIDA MONTINGELLI ZANFERDINI,NA,NA,NA,"R$ 443.440,17",NA,NA,"Antecipacao de Tutela / Tutela Especifica,Rescisao / Resolucao",NA,NA,NA,NA
