tipo_andamento,classe,num_processo,link,relator,data_autuacao,data_baixa,meio_processo,grupo_origem,assunto_completo,com_pedido_vista,merito_pendente,ramo_direito,em_tramitacao,qtd_processos
recebido,ACO,1122,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2591144,-,25/01/2008,28/05/2014,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || SERVIÇOS || ENSINO SUPERIOR || CRIAÇÃO E/OU AUTORIZAÇÃO PARA FUNCIONAMENTO DE CURSO SUPERIOR,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1131,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2593999,-,12/02/2008,27/09/2013,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || SERVIÇOS || ENSINO SUPERIOR || CRIAÇÃO E/OU AUTORIZAÇÃO PARA FUNCIONAMENTO DE CURSO SUPERIOR,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1133,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2596941,-,21/02/2008,02/07/2008,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || ATOS ADMINISTRATIVOS || LICENÇAS || JOGOS DE BINGO E/OU CAÇA-NÍQUEIS,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1134,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2596944,-,21/02/2008,12/03/2013,Físico,Originária,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || GARANTIAS CONSTITUCIONAIS || INTERVENÇÃO EM ESTADO / MUNICÍPIO,Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1137,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2603541,-,14/03/2008,11/05/2010,Físico,Originária,1 - DIREITO TRIBUTÁRIO || CONTRIBUIÇÕES || CONTRIBUIÇÕES ESPECIAIS || FUNDEF/FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DO ENSINO FUNDAMENTAL E DE VALORIZAÇÃO DO MAGISTÉRIO,Não,Não,DIREITO TRIBUTÁRIO,Não,1
recebido,ACO,1142,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2605065,-,25/03/2008,14/10/2009,Físico,Originária,"1 - DIREITO PENAL || CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE || CRIMES CONTRA O SISTEMA FINANCEIRO NACIONAL2 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO BANCÁRIO",Não,Não,DIREITO PENAL,Não,1
recebido,ACO,1143,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2605532,-,26/03/2008,10/02/2012,Físico,Originária,"1 - DIREITO PENAL || CRIMES PRATICADOS POR FUNCIONÁRIOS PÚBLICOS CONTRA A ADMINISTRAÇÃO EM GERAL2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || ATOS ADMINISTRATIVOS || IMPROBIDADE ADMINISTRATIVA",Não,Não,DIREITO PENAL,Não,1
recebido,ACO,1144,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2605717,-,26/03/2008,07/02/2012,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1148,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2607378,-,01/04/2008,04/06/2009,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
recebido,ACO,1149,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2607379,-,01/04/2008,18/06/2009,Físico,Originária,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO || AGENTES POLÍTICOS || MINISTÉRIO PÚBLICO2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO || PARTES E PROCURADORES || CAPACIDADE PROCESSUAL",Não,Não,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Não,1
